Goods code;Add code;Order No.;Origin;Measure type;Excluded country code;Origin code;Meas. type code;Excluded country
0106120000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106120000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106120000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106130000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106130000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106130000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106130000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106130000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106140000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106140000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106140000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106140000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106140000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106141000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0106190000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106190000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106190000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106190000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106190000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106200000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106200000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106200000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106200000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106200000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106310000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106310000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106310000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106310000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106310000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106320000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106320000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106320000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106320000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106320000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106330000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106330000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106330000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106330000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106330000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106390000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106390000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106390000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106390000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106390000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106391000;;;GSP - General arrangements;Tariff preference;Indonesia;2020;142;ID
0106410000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106410000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106410000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106410000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106410000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106490000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106490000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106490000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106490000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106490000;;;All third countries;Veterinary control;Norway;1008;410;NO
0106900010;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106900010;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106900010;;;All third countries;Veterinary control;Norway;1008;410;NO
0106900010;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106900010;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106900019;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0106900019;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106900019;;;All third countries;Veterinary control;Norway;1008;410;NO
0106900019;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106900019;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106900090;;;All third countries;Veterinary control;Andorra;1008;410;AD
0106900090;;;All third countries;Veterinary control;Norway;1008;410;NO
0106900090;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0106900090;;;All third countries;Veterinary control;San Marino;1008;410;SM
0106900090;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0200000000;;;ERGA OMNES;Import control of organic products;Norway;1011;750;NO
0200000000;;;ERGA OMNES;Import control of organic products;Liechtenstein;1011;750;LI
0200000000;;;ERGA OMNES;Import control of organic products;Switzerland;1011;750;CH
0200000000;;;ERGA OMNES;Import control of organic products;Iceland;1011;750;IS
0200000000;;;ERGA OMNES;Additional duties;Belarus;1011;695;BY
0200000000;;;ERGA OMNES;Additional duties;Russian Federation;1011;695;RU
0201000000;;;All third countries;Veterinary control;Greenland;1008;410;GL
0201000000;;;All third countries;Veterinary control;Iceland;1008;410;IS
0201000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0201000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0201000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0201000000;;;All third countries;Veterinary control;Faroe Islands;1008;410;FO
0201000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0201000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0201000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0202000000;;094003;ERGA OMNES;Non preferential tariff quota;Belarus;1011;122;BY
0202000000;;094003;ERGA OMNES;Non preferential tariff quota;United Kingdom;1011;122;GB
0202000000;;094003;ERGA OMNES;Non preferential tariff quota;Russian Federation;1011;122;RU
0202000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0202000000;;;All third countries;Veterinary control;Greenland;1008;410;GL
0202000000;;;All third countries;Veterinary control;Iceland;1008;410;IS
0202000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0202000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0202000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0202000000;;;All third countries;Veterinary control;Faroe Islands;1008;410;FO
0202000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0202000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0202203081;;090161;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202203081;;090161;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202203081;;090161;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202203082;;090161;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202203082;;090161;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202203082;;090161;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202203083;;090163;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202203083;;090163;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202203083;;090163;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202203084;;090163;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202203084;;090163;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202203084;;090163;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202301081;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202301081;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202301081;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202301082;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202301082;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202301082;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202301083;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202301083;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202301083;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202301084;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202301084;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202301084;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202305081;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202305081;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202305081;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202305082;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202305082;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202305082;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202305083;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202305083;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202305083;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202305084;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202305084;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202305084;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309041;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309041;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202309041;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309042;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309042;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202309042;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309043;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309043;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202309043;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309044;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309044;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202309044;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309070;;090162;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309070;;090162;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309070;;090162;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0202309075;;090164;All third countries;Non preferential tariff quota under end-use;United Kingdom;1008;123;GB
0202309075;;090164;All third countries;Non preferential tariff quota under end-use;Belarus;1008;123;BY
0202309075;;090164;All third countries;Non preferential tariff quota under end-use;Russian Federation;1008;123;RU
0203000000;;;All third countries;Veterinary control;Greenland;1008;410;GL
0203000000;;;All third countries;Veterinary control;Iceland;1008;410;IS
0203000000;;;All third countries;Veterinary control;Switzerland;1008;410;CH
0203000000;;;All third countries;Veterinary control;San Marino;1008;410;SM
0203000000;;;All third countries;Veterinary control;Andorra;1008;410;AD
0203000000;;;All third countries;Veterinary control;Liechtenstein;1008;410;LI
0203000000;;;All third countries;Veterinary control;Norway;1008;410;NO
0203000000;;;All third countries;Veterinary control;Faroe Islands;1008;410;FO
0203000000;;;CARIFORUM;Tariff preference;Haiti;1033;142;HT
0203111000;;090122;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203111000;;090122;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0203111000;;090122;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203121100;;090123;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203121100;;090123;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203121100;;090123;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0203121900;;090123;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203121900;;090123;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203121900;;090123;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0203191100;;090123;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0203191100;;090123;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203191100;;090123;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203191300;;090119;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203191300;;090119;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
0203191300;;090119;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203191300;;090123;All third countries;Non preferential tariff quota;Russian Federation;1008;122;RU
0203191300;;090123;All third countries;Non preferential tariff quota;United Kingdom;1008;122;GB
0203191300;;090123;All third countries;Non preferential tariff quota;Belarus;1008;122;BY
